Country (Full Name),Gross Domestic Product per Capita (USD),Labour market insecurity - Total (PC),Labour market insecurity - Men (PC),Labour market insecurity - Women (PC),Labour market insecurity - High (PC),Labour market insecurity - Low (PC),Stakeholder engagement for developing regulations - Total (AVSCORE),Dwellings without basic facilities - Total (PC),Housing expenditure - Total (PC),Feeling safe walking alone at night - Total (PC),Feeling safe walking alone at night - Men (PC),Feeling safe walking alone at night - Women (PC),Rooms per person - Total (RATIO),Household net adjusted disposable income - Total (USD),Household net wealth - Total (USD),Employment rate - Total (PC),Employment rate - Men (PC),Employment rate - Women (PC),Long-term unemployment rate - Total (PC),Long-term unemployment rate - Men (PC),Long-term unemployment rate - Women (PC),Personal earnings - Total (USD),Quality of support network - Total (PC),Quality of support network - Men (PC),Quality of support network - Women (PC),Quality of support network - High (PC),Quality of support network - Low (PC),Educational attainment - Total (PC),Educational attainment - Men (PC),Educational attainment - Women (PC),Student skills - Total (AVSCORE),Student skills - Men (AVSCORE),Student skills - Women (AVSCORE),Student skills - High (AVSCORE),Student skills - Low (AVSCORE),Years in education - Total (YR),Years in education - Men (YR),Years in education - Women (YR),Air pollution - Total (MICRO_M3),Water quality - Total (PC),Water quality - Men (PC),Water quality - Women (PC),Voter turnout - Total (PC),Life expectancy - Total (YR),Life expectancy - Men (YR),Life expectancy - Women (YR),Self-reported health - Total (PC),Self-reported health - Men (PC),Self-reported health - Women (PC),Self-reported health - High (PC),Self-reported health - Low (PC),Life satisfaction - Total (AVSCORE),Life satisfaction - Men (AVSCORE),Life satisfaction - Women (AVSCORE),Life satisfaction - High (AVSCORE),Life satisfaction - Low (AVSCORE),Homicide rate - Total (RATIO),Homicide rate - Men (RATIO),Homicide rate - Women (RATIO),Employees working very long hours - Total (PC),Employees working very long hours - Men (PC),Employees working very long hours - Women (PC),Time devoted to leisure and personal care - Total (HOUR),Time devoted to leisure and personal care - Men (HOUR),Time devoted to leisure and personal care - Women (HOUR)
Afghanistan,599.994,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
Albania,3995.383,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
Algeria,4318.135,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
Angola,4100.315,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
Antigua and Barbuda,14414.302,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
Argentina,13588.846,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
Armenia,3534.86,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
Australia,50961.865,5.4,5.9,5.0,2.29,11.02,2.7,Nan,20.0,63.5,80.1,48.8,Nan,32759.0,427064.0,73.0,78.0,68.0,1.31,1.38,1.23,49126.0,95.0,96.0,94.0,96.0,Nan,81.0,82.0,80.0,502.0,498.0,506.0,550.0,0.0,21.0,20.8,21.1,5.0,93.0,93.0,92.0,91.0,82.5,80.4,84.6,85.0,85.0,85.0,94.0,Nan,7.3,7.2,7.4,7.5,Nan,1.1,1.5,0.7,13.04,19.17,6.31,14.35,14.37,14.33
Austria,43724.031,3.5,4.2,2.7,2.67,7.31,1.3,0.9,21.0,80.6,84.1,77.4,1.6,33541.0,308325.0,72.0,76.0,68.0,1.84,1.99,1.66,50349.0,92.0,92.0,92.0,92.0,Nan,85.0,88.0,82.0,492.0,496.0,488.0,541.0,447.0,17.0,16.7,17.3,16.0,92.0,93.0,91.0,80.0,81.7,79.3,84.1,70.0,72.0,69.0,80.0,62.0,7.1,7.1,7.1,7.6,Nan,0.5,0.4,0.5,6.66,10.01,3.1,14.55,14.72,14.32
Azerbaijan,5739.433,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
