Country (Full Name),Gross Domestic Product per Capita (USD),Labour market insecurity - Total (PC),Labour market insecurity - Men (PC),Labour market insecurity - Women (PC),Labour market insecurity - High (PC),Labour market insecurity - Low (PC),Stakeholder engagement for developing regulations - Total (AVSCORE),Dwellings without basic facilities - Total (PC),Housing expenditure - Total (PC),Feeling safe walking alone at night - Total (PC),Feeling safe walking alone at night - Men (PC),Feeling safe walking alone at night - Women (PC),Rooms per person - Total (RATIO),Household net adjusted disposable income - Total (USD),Household net wealth - Total (USD),Employment rate - Total (PC),Employment rate - Men (PC),Employment rate - Women (PC),Long-term unemployment rate - Total (PC),Long-term unemployment rate - Men (PC),Long-term unemployment rate - Women (PC),Personal earnings - Total (USD),Quality of support network - Total (PC),Quality of support network - Men (PC),Quality of support network - Women (PC),Quality of support network - High (PC),Quality of support network - Low (PC),Educational attainment - Total (PC),Educational attainment - Men (PC),Educational attainment - Women (PC),Student skills - Total (AVSCORE),Student skills - Men (AVSCORE),Student skills - Women (AVSCORE),Student skills - High (AVSCORE),Student skills - Low (AVSCORE),Years in education - Total (YR),Years in education - Men (YR),Years in education - Women (YR),Air pollution - Total (MICRO_M3),Water quality - Total (PC),Water quality - Men (PC),Water quality - Women (PC),Voter turnout - Total (PC),Life expectancy - Total (YR),Life expectancy - Men (YR),Life expectancy - Women (YR),Self-reported health - Total (PC),Self-reported health - Men (PC),Self-reported health - Women (PC),Self-reported health - High (PC),Self-reported health - Low (PC),Life satisfaction - Total (AVSCORE),Life satisfaction - Men (AVSCORE),Life satisfaction - Women (AVSCORE),Life satisfaction - High (AVSCORE),Life satisfaction - Low (AVSCORE),Homicide rate - Total (RATIO),Homicide rate - Men (RATIO),Homicide rate - Women (RATIO),Employees working very long hours - Total (PC),Employees working very long hours - Men (PC),Employees working very long hours - Women (PC),Time devoted to leisure and personal care - Total (HOUR),Time devoted to leisure and personal care - Men (HOUR),Time devoted to leisure and personal care - Women (HOUR)
Australia,0.835836067647196,-0.19820217835234127,-0.13716044165865238,-0.25569817524876814,-0.5518741005070927,-0.17438782577209763,0.9679677624464063,-0.4774476915535639,-0.2774379366257,-0.3430304856015999,0.26555836639946273,-0.8515931616083626,-0.0732797953119037,0.7627224565854792,1.094985796039436,0.5749103390274714,0.5722181649673352,0.49659997008996143,-0.42732162465290996,-0.444370021558326,-0.4085688408868757,0.759108924912636,1.1471580629485125,1.3239832559171771,0.869387289650738,1.201629760427722,0.12126781251816648,0.21167143045637218,0.311497447430595,0.11742592992074098,0.47792890266339993,0.4375856761725397,0.5087230797227998,0.5484706681524018,-5.716396487683018,2.5148231392408533,2.6062253349503237,2.2262002351011945,-1.4609901154943956,1.0203412591851506,0.9938325053524855,0.9657004482948369,1.7768347046213628,0.6320483254476903,0.7189938723327126,0.5188454298252962,1.3290937903020785,1.2078940842558832,1.3987407364503663,1.2419699298128544,0.2838893546781011,1.0298653001047908,0.9338831587342343,1.1251121221486395,0.6058041909910116,-0.10940630921489877,-0.3725421112992564,-0.37162998713788514,-0.35760979768821904,0.6890917101015946,0.922412136076583,0.33655834842111215,-1.3055043045898853,-1.5540806491734467,-0.7998825180581304
Austria,0.501942169210275,-0.5534702338895573,-0.5225699471457745,-0.6181670831514904,-0.4545485833043104,-0.4854353419329064,-1.5532505955535354,-0.4774476915535639,0.13358122874570696,0.8918792625641593,0.5495780096074446,1.181425571446661,-0.0732797953119037,0.8943271588057059,0.21093746526546342,0.44785833040261597,0.2629110487687759,0.49659997008996143,-0.273619241845959,-0.23677613823412239,-0.3047823386973282,0.8602649988266626,0.4412146395955817,0.49324866396914446,0.36539465796915116,-0.5461953456489645,0.12126781251816648,0.48261086144052856,0.7091537632994394,0.2535719356259484,0.15554852987189888,0.37239600374460086,-0.054785562431686134,0.26879723963276314,0.14455707615506655,-0.39669424338241954,-0.4016631585884025,-0.38276226093104654,0.4694472743480492,0.924309140673607,0.9938325053524855,0.8719431232176683,0.8645741794948754,0.45873601684164067,0.5009667849265126,0.40367441321590736,0.2230518011463963,0.18325309924273614,0.28807811693642815,0.09237792866376603,0.3595931825922614,0.7606194700120351,0.7985377734104316,0.7232863642384104,0.8044285159060957,-0.10940630921489877,-0.46847570219176876,-0.46490847791978435,-0.5229784902608059,-0.15051776432154654,-0.06580952081949903,-0.2660646042670875,-0.9074846995319917,-0.8773425748832983,-0.8191220254076943
Belgium,0.335065247977788,-0.5160735964645872,-0.4092142102377974,-0.6181670831514904,-0.5774860787183512,-0.5139410442225761,-0.2926414165535648,-0.35383663872416227,0.13358122874570696,0.1336013470237806,0.37206573260245596,-0.11942207942421063,1.392316110926191,0.3596620194787748,0.789296373314655,-0.6956097472210826,-0.9743174160254615,-0.3670521518056241,0.21938840111973285,0.34857054917182867,0.10312275130345153,0.8045174977489407,0.2059001651446048,0.49324866396914446,-0.13859797371243565,0.7646734839085504,0.12126781251816648,-0.05926800052778421,-0.08615886843824944,-0.018720075784466404,0.51016693994255,0.6331546934563561,0.35219290134655373,0.8281440966720405,0.210115840851242,1.2774282516259627,0.9922363871978376,1.4709742494076503,0.2939529661805542,0.15605219258125833,0.30332853141031213,-0.06563012755401833,1.610969154598365,0.41540793969012746,0.44150485199755,0.3806402098940309,0.5179963315879116,0.5773457857862542,0.4269109443756704,0.6671739292383102,0.1324816988497805,0.49137363991928046,0.5278470027628286,0.4554025256315927,0.20855554116084166,-0.10940630921489877,-0.3885310431146751,-0.3970695755329485,-0.1922411051156321,-0.4018742057240857,-0.4110397939709687,-0.3693177581544738,1.3811280295508819,1.1722070215382832,1.4703793491904553
Brazil,-1.1151614745464722,-0.31039209062725165,-0.3412007680930112,-0.25569817524876814,-0.2650199445409975,-0.21379276717252343,0.06753263458928431,0.2394964148569657,0.13358122874570696,-2.357883232608892,-2.248015475991177,-2.3799114399539216,-0.0732797953119037,0.18615249519609744,-0.15133629212511557,-0.9497137644707934,-0.5103567417276225,-1.1347429268239224,-0.293919556556311,-0.3507826151416769,-0.31081643766183675,0.07566441244198843,-0.029414309306372115,0.07788136799512807,0.11339834212835774,-0.10923906912979292,0.24253562503633297,-1.955844017416879,-2.0744404477824716,-1.7886181499521625,-2.971541086205661,-2.952277290080279,-2.9349408445546143,-2.7143859979100493,-0.983053676619151,-0.9789977199070746,-1.061931364487146,-0.932017523253624,-0.5835185746569207,-0.9003011110457212,-0.584462292229625,-1.1907180284800423,0.7816414044833766,-1.0360826448855438,-1.1441466927748014,-0.8862409728092463,0.1493156685360175,0.18325309924273614,0.218661703216807,0.09237792866376603,0.2838893546781011,-0.18174093531260854,-0.41957069450378565,0.053576767721363786,0.20855554116084166,-0.10940630921489877,3.720624433447939,3.7411034700640378,2.619026668618345,-0.08866565570416783,-0.15859015672895643,0.041817527324391514,-0.1910494104277881,-0.1716014402664317,-0.16497877552250864
Canada,0.4838552967066829,-0.08601226607743105,0.04420873739411092,-0.19266010430916422,-0.07036891013543296,-0.010899239110756019,1.3281418135892546,-0.5639754285341451,0.5446003941171139,1.0074263735036462,1.1247177871036087,0.8757619157775485,2.369380048418254,0.4421253239390191,1.0710491334143648,0.5749103390274714,0.2629110487687759,0.7844840107218233,-0.5839240524184827,-0.61452894231587,-0.550973576449278,0.6347109403119033,0.6765291140465587,0.49324866396914446,0.869387289650738,0.32771720738937876,0.12126781251816648,0.8890200079167632,0.8417058685890542,1.002374967004589,1.1549276855255521,1.1872669090938361,1.1348437932277842,0.7970692712809695,0.6821389466637051,-0.17833043968567358,-0.25493689061090424,-0.0394777219794359,-1.1100014991594056,0.8282770221620634,0.8951890805036036,0.7781857981404996,-0.13061912064311096,0.5020640939931538,0.6000700064747846,0.3576060065721544,1.5503021881332149,1.5231682334906975,1.6069899776092298,1.2419699298128544,1.7222620850471466,1.1644882151511695,1.0692285440580358,1.1251121221486395,0.8044285159060957,-0.10940630921489877,-0.340564247668419,-0.3461903987428217,-0.35760979768821904,-0.54137045069094,-0.5081358082948194,-0.5814560561412855,-0.8875837192790976,-1.0320255632924746,-0.5497689225137931
Chile,-0.8996843929408009,0.4188423391596651,0.11222217953889713,0.5795562647009832,0.5622469516826518,-0.4108174741746531,-1.5532505955535354,0.5732462574963502,-1.099476267368514,-1.4696148172615913,-1.6870766806554125,-1.2283413883633143,-1.050343732803967,0.18615249519609744,-1.3329065436332928,-0.6956097472210826,-0.35570318362834286,-0.9428202330693478,-0.293919556556311,-0.3507826151416769,-0.31081643766183675,-1.1636835937131833,-1.2059866815612568,-0.9605368719399129,-1.650575868757196,-0.10923906912979292,-2.182820625326997,-0.8720862934802533,-0.8151954475311308,-0.9036691128683144,-1.4241152968064563,-1.2573458069538697,-1.588781310518898,-1.2538692045297142,-0.4848070649282177,-0.032754570554510476,0.03851564534409489,-0.108134629769759,0.4694472743480492,-1.0923653480688085,-1.0776794164740346,-1.0969607034028737,-1.872207395884587,0.06878332247802828,0.06491261011411543,0.08119556670962057,-0.7355179227885282,-0.6049322738443,-0.8225845025775101,-0.9751003581175303,-0.8516680640343033,-0.04711802026623122,-0.013534538532379911,-0.08036515158204507,0.009931216245757556,-0.10940630921489877,0.1231147749787243,0.12868191796502923,-0.10955675882933869,0.2521789428469194,0.22979390056644686,0.18073995255469305,-0.1910494104277881,-0.1716014402664317,-0.16497877552250864
Colombia,-1.234480674403821,-0.31039209062725165,-0.3412007680930112,-0.25569817524876814,-0.2650199445409975,-0.21379276717252343,-1.3731635699821114,2.365606523522674,-1.5104954327399207,-1.7223741224417175,-1.9710963238633943,-1.427378187403666,-1.050343732803967,0.18615249519609744,-0.15133629212511557,-0.18740171272166098,0.726871723066615,-0.7508975393147732,-0.5781239625012392,-0.7404465436764524,-0.42546431798749973,0.07566441244198843,-0.26472878375734904,-0.12980227999188013,-0.39059428955322906,-0.10923906912979292,0.12126781251816648,-1.6171697286866835,-1.676784131913627,-1.5163261385417477,-2.4879705270184096,-2.398165074442799,-2.5279623807763745,-2.372562918608269,-0.7601538766521545,-2.5075443457842925,-2.529194044262134,-2.3738125868503883,-0.5835185746569207,-0.708236874022634,-0.683105717078507,-0.8156887281713676,-1.3746107458155938,-0.7327861048249545,-0.7279131622720603,-0.6789331429123451,0.1493156685360175,0.18325309924273614,0.218661703216807,0.09237792866376603,0.2838893546781011,-0.31636385035898706,-0.41957069450378565,-0.348248990188864,0.20855554116084166,-0.10940630921489877,3.3688679335087266,3.4358284093232765,2.4536579760457577,2.4683268345844898,2.316279363925642,2.7883514207288655,-0.1910494104277881,-0.1716014402664317,-0.16497877552250864
Czech Republic,-0.7190318873846272,-0.6282635087394974,-0.8399660104881104,-0.49209094127228264,-0.7542087283760348,1.009437222257719,-1.0129895188392621,-0.5021699021194442,1.3666387248599277,0.29247862456557444,0.45017113448465157,0.12937391937622927,-0.5618117640579356,-1.139992074491097,-0.15133629212511557,0.7019623476523268,1.0361788392651743,0.3046772763353868,-0.5056228385356963,-0.6247384775613225,-0.39650064295785853,-1.2056182866603717,0.2059001651446048,0.07788136799512807,0.11339834212835774,0.7646734839085504,0.12126781251816648,1.0922245811548805,1.1730861318130912,0.9343019641519853,0.12331049259274879,0.14423215024681502,0.10174461594455997,0.4863210173702599,0.05277480558042093,0.2583971677078158,0.03851564534409489,0.44112063255281847,1.1714245070180291,0.4441485481158891,0.4019719562591941,0.403156497831825,-0.711148545723603,-0.1045289861280244,-0.1332938329824285,-0.057009653221648,-0.5143095249573918,-0.6049322738443,-0.4060860202597833,0.010264214295974003,-1.003075719862624,0.2221278098265246,0.2571562321152243,0.18751868702477384,0.20855554116084166,-0.10940630921489877,-0.46847570219176876,-0.4564286151214299,-0.5229784902608059,-0.2834339977333604,-0.2146900761160702,-0.43314698055758527,-0.1910494104277881,-0.1716014402664317,-0.16497877552250864
Denmark,0.8889936751812821,-0.4225820029021619,-0.49989879976417917,-0.3975338348628769,-0.20355119683397715,-0.5298707013844505,-0.2926414165535648,-0.5268921126853245,0.9556195594885208,1.1013084011419787,1.1318182781838078,1.0037141437320611,0.6595181578071432,0.2320963362525193,-1.2013479655353123,0.7019623476523268,0.4175646068680556,0.7844840107218233,-0.42732162465290996,-0.45798273521892946,-0.3940870033720551,0.9526536615919674,1.1471580629485125,1.3239832559171771,1.1213836054915314,1.201629760427722,0.12126781251816648,0.21167143045637218,0.11266928949617276,0.3216449384785521,0.5424049772217001,0.6005598572423868,0.4774170440475506,0.33094689041490505,0.4592391466967086,1.4230041207571258,1.3590520571415845,1.4023173416173271,-0.7590128828244157,1.2124054962082378,1.2897627798991311,1.1532150984491742,1.3621708295638686,0.28542370823559104,0.44150485199755,0.10422977003149703,0.29678793375677515,0.18325309924273614,0.3574945306560493,0.4208327861349341,0.6624084942489026,1.433734045243924,1.33991931470564,1.3929959607554572,1.4003014906513516,-0.10940630921489877,-0.45248677037635004,-0.4309890267263665,-0.6056628365470993,-0.7190307626770278,-0.7444027764828565,-0.6809545498873122,1.7194446938500894,1.2302131421917264,2.2976781652217193
Estonia,-0.7175941916119989,-0.49737527775210216,-0.54524109452737,-0.47633142353738167,-0.5160173310113307,-0.42507032531948796,0.9679677624464063,0.2765797307057862,-1.5104954327399207,0.0541627082528842,0.3081613128806606,-0.11231362231562653,-0.0732797953119037,-1.4355136308833194,-0.8980559317266349,0.7019623476523268,0.4175646068680556,0.7844840107218233,-0.25041888217698527,-0.15850303468565213,-0.3168505366263453,-1.291307323925238,0.4412146395955817,0.28556501598213624,0.36539465796915116,-0.5461953456489645,0.9701425001453319,0.753550292424685,0.5103256053650171,0.9343019641519853,1.1871657228047021,1.1872669090938361,1.1974558645782827,0.9213685728452534,0.7608094642991157,0.11282129857665264,-0.10821062263340338,0.3038068169721747,-0.9345071909919107,0.15605219258125833,0.20468510656143024,0.121884522600319,-0.4623502206891064,-0.3861614876128554,-0.6882718736527509,-0.033975449899768265,-1.0304624532300435,-1.0778434976965217,-0.9614173300167524,0.010264214295974003,-1.8358178269183871,-1.1241013406372533,-0.9609522357989941,-1.1519005060093195,-1.7776877079900064,-0.6345565934464126,-0.052763474990881756,-0.08331465199383276,0.3038649726021285,-0.7085027441889634,-0.7444027764828565,-0.6283893079082793,-0.21095039068068228,0.3021152117366687,-0.6074874445624882
