Country (Full Name),Gross Domestic Product per Capita (USD),Labour market insecurity - Total (PC),Labour market insecurity - Men (PC),Labour market insecurity - Women (PC),Labour market insecurity - High (PC),Labour market insecurity - Low (PC),Stakeholder engagement for developing regulations - Total (AVSCORE),Dwellings without basic facilities - Total (PC),Housing expenditure - Total (PC),Feeling safe walking alone at night - Total (PC),Feeling safe walking alone at night - Men (PC),Feeling safe walking alone at night - Women (PC),Rooms per person - Total (RATIO),Household net adjusted disposable income - Total (USD),Household net wealth - Total (USD),Employment rate - Total (PC),Employment rate - Men (PC),Employment rate - Women (PC),Long-term unemployment rate - Total (PC),Long-term unemployment rate - Men (PC),Long-term unemployment rate - Women (PC),Personal earnings - Total (USD),Quality of support network - Total (PC),Quality of support network - Men (PC),Quality of support network - Women (PC),Quality of support network - High (PC),Quality of support network - Low (PC),Educational attainment - Total (PC),Educational attainment - Men (PC),Educational attainment - Women (PC),Student skills - Total (AVSCORE),Student skills - Men (AVSCORE),Student skills - Women (AVSCORE),Student skills - High (AVSCORE),Student skills - Low (AVSCORE),Years in education - Total (YR),Years in education - Men (YR),Years in education - Women (YR),Air pollution - Total (MICRO_M3),Water quality - Total (PC),Water quality - Men (PC),Water quality - Women (PC),Voter turnout - Total (PC),Life expectancy - Total (YR),Life expectancy - Men (YR),Life expectancy - Women (YR),Self-reported health - Total (PC),Self-reported health - Men (PC),Self-reported health - Women (PC),Self-reported health - High (PC),Self-reported health - Low (PC),Life satisfaction - Total (AVSCORE),Life satisfaction - Men (AVSCORE),Life satisfaction - Women (AVSCORE),Life satisfaction - High (AVSCORE),Life satisfaction - Low (AVSCORE),Homicide rate - Total (RATIO),Homicide rate - Men (RATIO),Homicide rate - Women (RATIO),Employees working very long hours - Total (PC),Employees working very long hours - Men (PC),Employees working very long hours - Women (PC),Time devoted to leisure and personal care - Total (HOUR),Time devoted to leisure and personal care - Men (HOUR),Time devoted to leisure and personal care - Women (HOUR)
Australia,50961.865,5.4,5.9,5.0,2.29,11.02,2.7,1.0,20.0,63.5,80.1,48.8,1.6,32759.0,427064.0,73.0,78.0,68.0,1.31,1.38,1.23,49126.0,95.0,96.0,94.0,96.0,85.0,81.0,82.0,80.0,502.0,498.0,506.0,550.0,0.0,21.0,20.8,21.1,5.0,93.0,93.0,92.0,91.0,82.5,80.4,84.6,85.0,85.0,85.0,94.0,59.5,7.3,7.2,7.4,7.5,5.7,1.1,1.5,0.7,13.04,19.17,6.31,14.35,14.37,14.33
Austria,43724.030999999995,3.5,4.2,2.7,2.67,7.31,1.3,0.9,21.0,80.6,84.1,77.4,1.6,33541.0,308325.0,72.0,76.0,68.0,1.84,1.99,1.66,50349.0,92.0,92.0,92.0,92.0,85.0,85.0,88.0,82.0,492.0,496.0,488.0,541.0,447.0,17.0,16.7,17.3,16.0,92.0,93.0,91.0,80.0,81.7,79.3,84.1,70.0,72.0,69.0,80.0,62.0,7.1,7.1,7.1,7.6,5.7,0.5,0.4,0.5,6.66,10.01,3.1,14.55,14.72,14.32
Belgium,40106.632000000005,3.7,4.7,2.7,2.19,6.97,2.0,1.9,21.0,70.1,81.6,59.1,2.2,30364.0,386006.0,63.0,68.0,59.0,3.54,3.71,3.35,49675.0,91.0,92.0,90.0,95.0,85.0,77.0,76.0,78.0,503.0,504.0,501.0,559.0,452.0,19.3,18.6,20.0,15.0,84.0,86.0,81.0,89.0,81.5,79.0,84.0,74.0,77.0,71.0,87.0,59.0,6.9,6.9,6.9,7.3,5.7,1.0,1.2,0.9,4.75,6.81,2.55,15.7,15.78,15.51
Brazil,8669.998,5.1,5.25,5.1,3.5300000000000002,10.605,2.2,6.7,21.0,35.6,44.7,27.3,1.6,27651.5,259667.0,61.0,71.0,51.0,1.655,1.625,1.59,39275.0,90.0,90.0,91.0,93.0,86.0,49.0,46.0,52.0,395.0,394.0,396.0,445.0,361.0,16.2,15.8,16.5,10.0,73.0,77.0,69.0,79.0,74.8,71.0,78.5,69.0,71.0,66.5,80.0,59.5,6.4,6.2,6.6,7.25,5.7,26.7,50.0,4.3,7.13,9.15,4.74,14.885,15.085,14.66
Canada,43331.960999999996,6.0,6.7,5.4,4.17,12.97,2.9,0.2,22.0,82.2,92.2,73.1,2.6,30854.0,423849.0,73.0,76.0,71.0,0.77,0.88,0.64,47622.0,93.0,92.0,94.0,94.0,85.0,91.0,90.0,93.0,523.0,521.0,526.0,558.0,488.0,17.3,16.9,17.8,7.0,91.0,92.0,90.0,68.0,81.9,79.8,83.9,88.0,89.0,88.0,94.0,80.0,7.4,7.3,7.4,7.6,5.7,1.3,1.8,0.7,3.69,5.91,1.42,14.56,14.64,14.46
Chile,13340.905,8.7,7.0,10.3,6.64,8.2,1.3,9.4,18.0,47.9,52.6,43.5,1.2,27651.5,100967.0,63.0,72.0,53.0,1.655,1.625,1.59,25879.0,85.0,85.0,84.0,93.0,76.0,65.0,65.0,65.0,443.0,446.0,439.0,492.0,399.0,17.5,17.3,17.7,16.0,71.0,72.0,70.0,47.0,79.9,77.1,82.7,57.0,62.0,53.0,67.0,46.0,6.5,6.5,6.5,7.2,5.7,4.2,7.4,1.0,9.72,12.75,5.48,14.885,15.085,14.66
Colombia,6083.51,5.1,5.25,5.1,3.5300000000000002,10.605,1.4,23.9,17.0,44.4,48.6,40.7,1.2,27651.5,259667.0,67.0,79.0,55.0,0.79,0.51,1.16,39275.0,89.0,89.0,89.0,93.0,85.0,54.0,52.0,56.0,410.0,411.0,409.0,456.0,378.0,14.1,13.8,14.4,10.0,75.0,76.0,73.0,53.0,76.2,73.1,79.4,69.0,71.0,66.5,80.0,59.5,6.3,6.2,6.3,7.25,5.7,24.5,46.4,4.1,26.56,32.09,19.37,14.885,15.085,14.66
Czech Republic,17256.918,3.1,2.8,3.5,1.5,25.14,1.6,0.7,24.0,72.3,82.7,62.6,1.4,21453.0,259667.0,74.0,81.0,66.0,1.04,0.85,1.28,25372.0,91.0,90.0,91.0,95.0,85.0,94.0,95.0,92.0,491.0,489.0,493.0,548.0,440.0,17.9,17.3,18.5,20.0,87.0,87.0,86.0,61.0,79.1,76.1,82.1,60.0,62.0,59.0,79.0,44.0,6.7,6.7,6.7,7.25,5.7,0.5,0.5,0.5,5.65,8.63,2.21,14.885,15.085,14.66
Denmark,52114.165,4.2,4.3,4.1,3.65,6.78,2.0,0.5,23.0,83.5,92.3,74.9,1.9,29606.0,118637.0,74.0,77.0,71.0,1.31,1.34,1.29,51466.0,95.0,96.0,95.0,96.0,85.0,81.0,79.0,83.0,504.0,503.0,505.0,543.0,471.0,19.5,19.1,19.9,9.0,95.0,96.0,94.0,86.0,80.9,79.0,82.8,71.0,72.0,70.0,84.0,66.0,7.6,7.5,7.6,7.9,5.7,0.6,0.8,0.4,2.34,3.72,0.89,15.87,15.81,15.94
Estonia,17288.083,3.8,4.1,3.6,2.43,8.03,2.7,7.0,17.0,69.0,80.7,59.2,1.6,19697.0,159373.0,74.0,77.0,71.0,1.92,2.22,1.61,24336.0,92.0,91.0,92.0,92.0,89.0,89.0,85.0,92.0,524.0,521.0,528.0,562.0,494.0,17.7,17.1,18.3,8.0,84.0,85.0,83.0,64.0,77.8,73.3,82.2,53.0,56.0,51.0,79.0,33.0,5.7,5.8,5.7,6.3,5.4,3.1,4.9,1.5,2.42,3.72,1.17,14.9,15.33,14.43
